time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
2.125000000000000000e+01,8.025853992600000311e+02,-2.177358484633332980e-01,-4.792645472343750157e+00,1.461488181016900700e+00
2.130000000000000071e+01,7.250485187399999631e+02,-1.437059532949999940e-01,-4.788499787552082942e+00,1.455557224858947674e+00
2.135000000000000142e+01,7.527003231800000549e+02,-5.409963489999998314e-03,-4.793633492604166157e+00,1.454588450262325861e+00
2.140000000000000213e+01,7.192343614200000275e+02,-2.094622340200000266e-02,-4.787527657239583512e+00,1.455701789560196913e+00
2.145000000000000284e+01,7.368371639800000139e+02,1.391975635280000012e-01,-4.786476355833333862e+00,1.460488848274063223e+00
2.150000000000000000e+01,7.935942109500000470e+02,-2.887185863866666424e-01,-4.790040093906250185e+00,1.463000126052054650e+00
2.155000000000000071e+01,8.448592450999999528e+02,2.985694777166666980e-01,-4.793420209270833787e+00,1.467877003321880425e+00
2.160000000000000142e+01,7.843020488600000135e+02,-1.220417457010000012e-01,-4.785726178541666265e+00,1.464544777616513693e+00
2.165000000000000213e+01,7.751622862899999973e+02,2.079404969599999708e-01,-4.783347189999999749e+00,1.462220300653365168e+00
2.170000000000000284e+01,8.159070005300000048e+02,-2.221026103609999858e-01,-4.785390394791666502e+00,1.454630246455117737e+00
2.175000000000000000e+01,8.359228276400000368e+02,1.536392880000051755e-04,-4.784833077135416168e+00,1.449345583737487786e+00
2.180000000000000071e+01,8.194359014499999603e+02,-1.205914769876666598e-01,-4.779587894843749574e+00,1.447909364994781622e+00
2.185000000000000142e+01,8.351448834499999521e+02,-1.041903653526666668e-01,-4.779674493749999975e+00,1.452203735142280072e+00
2.190000000000000213e+01,8.900762591300000395e+02,1.221819519330000076e-01,-4.787989619479167125e+00,1.462907243505202404e+00
2.195000000000000284e+01,9.142734558199999810e+02,-1.081512673119999907e-01,-4.797929720989583480e+00,1.471945864221297695e+00
2.200000000000000000e+01,7.824285449799999697e+02,-1.228347115273000084e-01,-4.790255574218750034e+00,1.480734354891290572e+00
2.205000000000000071e+01,7.511893883699999606e+02,1.050085805216666723e-01,-4.790523982864583807e+00,1.495505595173730606e+00
2.210000000000000142e+01,7.854437404300000480e+02,2.464234486999999918e-01,-4.796192148802083111e+00,1.510787932667070121e+00
2.215000000000000213e+01,7.850693759199999704e+02,1.239647848616666631e-01,-4.796268227083333890e+00,1.519849371913424729e+00
2.220000000000000284e+01,7.574580583800000113e+02,2.132859370873333160e-01,-4.791615093645833490e+00,1.524398016677342760e+00
2.225000000000000000e+01,7.990083452400000397e+02,-1.336953897733333674e-01,-4.793193419322916426e+00,1.526821788368376787e+00
2.230000000000000071e+01,8.322832027099999550e+02,4.035904563966666303e-01,-4.791396580260416371e+00,1.531872258946405552e+00
2.235000000000000142e+01,8.708440580699999600e+02,-7.110585190366665309e-02,-4.790175634322916487e+00,1.529183671243337317e+00
2.240000000000000213e+01,8.104766072600000371e+02,1.220251968630000072e-01,-4.780792139687499720e+00,1.528074633306221397e+00
2.245000000000000284e+01,7.575420618699999977e+02,3.149057740884647072e-01,-4.774676313333332978e+00,1.522106135813146466e+00
2.250000000000000000e+01,8.019050132200000007e+02,-3.525487508333333686e-01,-4.780611635885416710e+00,1.508137090857546880e+00
2.255000000000000071e+01,8.508472286500000337e+02,3.567878219000000239e-01,-4.786256109427083238e+00,1.499308542845311898e+00
2.260000000000000142e+01,7.924362534800000049e+02,-3.506598882983333887e-01,-4.780678646666666864e+00,1.481587098441168315e+00
2.265000000000000213e+01,7.462106085699999767e+02,8.181455433333333083e-02,-4.776942694791666888e+00,1.469213230227754297e+00
2.270000000000000284e+01,8.274584748199999922e+02,-4.058475235066666964e-01,-4.790662164270833578e+00,1.457933157958665626e+00
2.275000000000000000e+01,7.755907373899999584e+02,-2.429589454283333227e-01,-4.789204888958333406e+00,1.458677968905045752e+00
2.280000000000000071e+01,7.185883201399999507e+02,1.342726486828866583e-01,-4.786619294062499641e+00,1.467194539763623462e+00
2.285000000000000142e+01,7.754089123100000052e+02,-3.707430203466666740e-01,-4.796714927760416636e+00,1.471246800428820389e+00
2.290000000000000213e+01,7.137941692000000558e+02,1.760175383666666704e-01,-4.790109371510416381e+00,1.484544324937088211e+00
2.295000000000000284e+01,8.282120963099999926e+02,-9.377676057766666518e-02,-4.799026601249999580e+00,1.492909395483163149e+00
2.300000000000000000e+01,8.844456577500000094e+02,1.868895218499999900e-01,-4.796474168593749532e+00,1.499116442690272555e+00
2.305000000000000071e+01,8.405845942500000092e+02,-1.013120183913334034e-02,-4.787907326250000040e+00,1.504716799040080044e+00
2.310000000000000142e+01,8.286389445800000431e+02,3.941884750699999884e-01,-4.787129171822916085e+00,1.510135654967456498e+00
2.315000000000000213e+01,7.684827204700000038e+02,-3.571838097333333018e-01,-4.781730953958333252e+00,1.507857143050487903e+00
2.320000000000000284e+01,7.825035106999999925e+02,8.378163486999998591e-03,-4.785134350885416943e+00,1.511896886878764112e+00
2.325000000000000000e+01,7.968287888900000553e+02,6.971724934266666784e-02,-4.787043559166666462e+00,1.516219474304485448e+00
2.330000000000000071e+01,8.174657463400000097e+02,9.702798395666667464e-02,-4.788857963541667040e+00,1.519175569706326945e+00
